mindate,maxdate,name,datacoverage,id
2010-01-01,2010-12-31,Alabama,1,FIPS:01
2010-01-01,2010-12-31,Alaska,1,FIPS:02
2010-01-01,2010-12-31,Arizona,1,FIPS:04
2010-01-01,2010-12-31,Arkansas,1,FIPS:05
2010-01-01,2010-12-31,California,1,FIPS:06
2010-01-01,2010-12-31,Colorado,1,FIPS:08
2010-01-01,2010-12-31,Connecticut,1,FIPS:09
2010-01-01,2010-12-31,Delaware,1,FIPS:10
2010-01-01,2010-12-31,District of Columbia,1,FIPS:11
2010-01-01,2010-12-31,Florida,1,FIPS:12
2010-01-01,2010-12-31,Georgia,1,FIPS:13
2010-01-01,2010-12-31,Hawaii,1,FIPS:15
2010-01-01,2010-12-31,Idaho,1,FIPS:16
2010-01-01,2010-12-31,Illinois,1,FIPS:17
2010-01-01,2010-12-31,Indiana,1,FIPS:18
2010-01-01,2010-12-31,Iowa,1,FIPS:19
2010-01-01,2010-12-31,Kansas,1,FIPS:20
2010-01-01,2010-12-31,Kentucky,1,FIPS:21
2010-01-01,2010-12-31,Louisiana,1,FIPS:22
2010-01-01,2010-12-31,Maine,1,FIPS:23
2010-01-01,2010-12-31,Maryland,1,FIPS:24
2010-01-01,2010-12-31,Massachusetts,1,FIPS:25
2010-01-01,2010-12-31,Michigan,1,FIPS:26
2010-01-01,2010-12-31,Minnesota,1,FIPS:27
2010-01-01,2010-12-31,Mississippi,1,FIPS:28
2010-01-01,2010-12-31,Missouri,1,FIPS:29
2010-01-01,2010-12-31,Montana,1,FIPS:30
2010-01-01,2010-12-31,Nebraska,1,FIPS:31
2010-01-01,2010-12-31,Nevada,1,FIPS:32
2010-01-01,2010-12-31,New Hampshire,1,FIPS:33
2010-01-01,2010-12-31,New Jersey,1,FIPS:34
2010-01-01,2010-12-31,New Mexico,1,FIPS:35
2010-01-01,2010-12-31,New York,1,FIPS:36
2010-01-01,2010-12-31,North Carolina,1,FIPS:37
2010-01-01,2010-12-31,North Dakota,1,FIPS:38
2010-01-01,2010-12-31,Ohio,1,FIPS:39
2010-01-01,2010-12-31,Oklahoma,1,FIPS:40
2010-01-01,2010-12-31,Oregon,1,FIPS:41
2010-01-01,2010-12-31,Pennsylvania,1,FIPS:42
2010-01-01,2010-12-31,Rhode Island,1,FIPS:44
2010-01-01,2010-12-31,South Carolina,1,FIPS:45
2010-01-01,2010-12-31,South Dakota,1,FIPS:46
2010-01-01,2010-12-31,Tennessee,1,FIPS:47
2010-01-01,2010-12-31,Texas,1,FIPS:48
2010-01-01,2010-12-31,Utah,1,FIPS:49
2010-01-01,2010-12-31,Vermont,1,FIPS:50
2010-01-01,2010-12-31,Virginia,1,FIPS:51
2010-01-01,2010-12-31,Washington,1,FIPS:53
2010-01-01,2010-12-31,West Virginia,1,FIPS:54
2010-01-01,2010-12-31,Wisconsin,1,FIPS:55
2010-01-01,2010-12-31,Wyoming,1,FIPS:56
